_LOCATION_,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag_Codes
ALB,OILPROD,TOT,KTOE,A,2003,360,
ARE,OILPROD,TOT,KTOE,A,2009,113651.5406,
ARE,OILPROD,TOT,KTOE,A,2003,109965.3301,
ARE,OILPROD,TOT,KTOE,A,2006,125619.2542,
ARE,OILPROD,TOT,KTOE,A,2020,141310.2012,
ARE,OILPROD,TOT,KTOE,A,2018,152431.2204,
ARE,OILPROD,TOT,KTOE,A,2007,123711.5054,
ARE,OILPROD,TOT,KTOE,A,2017,150403.5359,
ARE,OILPROD,TOT,KTOE,A,2008,126168.979,
ARE,OILPROD,TOT,KTOE,A,2004,114955.6101,
ARE,OILPROD,TOT,KTOE,A,2013,141786.2548,
ARE,OILPROD,TOT,KTOE,A,2015,151518.4207,
ARE,OILPROD,TOT,KTOE,A,2021,135697.9198,
ARE,OILPROD,TOT,KTOE,A,2011,129974.2966,
ARE,OILPROD,TOT,KTOE,A,2010,117808.0713,
ARE,OILPROD,TOT,KTOE,A,2012,134854.6317,
ARE,OILPROD,TOT,KTOE,A,2005,116324.8322,
ARE,OILPROD,TOT,KTOE,A,2019,155016.5194,
ARE,OILPROD,TOT,KTOE,A,2016,156965.7867,
ARE,OILPROD,TOT,KTOE,A,2014,141618.2833,
ARE,OILPROD,TOT,KTOE,A,2001,104643.1791,
ARE,OILPROD,TOT,KTOE,A,2002,97848.9872,
ARG,OILPROD,TOT,KTOE,A,2006,33147,
ARG,OILPROD,TOT,KTOE,A,2004,34874,
ARG,OILPROD,TOT,KTOE,A,2010,30437,
ARG,OILPROD,TOT,KTOE,A,2016,26440,
ARG,OILPROD,TOT,KTOE,A,2017,24766.12,
ARG,OILPROD,TOT,KTOE,A,2003,37067,
ARG,OILPROD,TOT,KTOE,A,2019,26269.333,
ARG,OILPROD,TOT,KTOE,A,2014,27484,
ARG,OILPROD,TOT,KTOE,A,2013,27886,
ARG,OILPROD,TOT,KTOE,A,2001,38779,
ARG,OILPROD,TOT,KTOE,A,2015,27496,
ARG,OILPROD,TOT,KTOE,A,2008,32410,
ARG,OILPROD,TOT,KTOE,A,2021,26521.302,
ARG,OILPROD,TOT,KTOE,A,2012,28452,
ARG,OILPROD,TOT,KTOE,A,2018,25280.877,
ARG,OILPROD,TOT,KTOE,A,2020,24889.354,
ARG,OILPROD,TOT,KTOE,A,2009,31179,
ARG,OILPROD,TOT,KTOE,A,2011,28583,
ARG,OILPROD,TOT,KTOE,A,2007,32774,
ARG,OILPROD,TOT,KTOE,A,2002,38169,
ARG,OILPROD,TOT,KTOE,A,2005,33299,
AUS,OILPROD,TOT,KTOE,A,2013,18082.2999,
AUS,OILPROD,TOT,KTOE,A,2005,22928.5522,
AUS,OILPROD,TOT,KTOE,A,2018,13018.5851,
AUS,OILPROD,TOT,KTOE,A,2001,26611.8285,
AUS,OILPROD,TOT,KTOE,A,2004,25785.0349,
AUS,OILPROD,TOT,KTOE,A,2007,23214.3056,
AUS,OILPROD,TOT,KTOE,A,2010,23141.8167,
AUS,OILPROD,TOT,KTOE,A,2009,22170.0453,
AUS,OILPROD,TOT,KTOE,A,2003,29403.1762,
AUS,OILPROD,TOT,KTOE,A,2016,15783.1907,
AUS,OILPROD,TOT,KTOE,A,2006,20414.5534,
AUS,OILPROD,TOT,KTOE,A,2017,13650.3951,
AUS,OILPROD,TOT,KTOE,A,2020,17401.3781,
AUS,OILPROD,TOT,KTOE,A,2021,15577.2718,
AUS,OILPROD,TOT,KTOE,A,2019,14943.0339,
AUS,OILPROD,TOT,KTOE,A,2015,16158.6537,
AUS,OILPROD,TOT,KTOE,A,2002,30307.7115,
AUS,OILPROD,TOT,KTOE,A,2014,17036.094,
AUS,OILPROD,TOT,KTOE,A,2008,21500.8362,
AUS,OILPROD,TOT,KTOE,A,2012,20804.5898,
AUS,OILPROD,TOT,KTOE,A,2011,22300.2448,
AUT,OILPROD,TOT,KTOE,A,2020,556.0031,
AUT,OILPROD,TOT,KTOE,A,2003,932.8724,
AUT,OILPROD,TOT,KTOE,A,2005,867.6779,
AUT,OILPROD,TOT,KTOE,A,2019,643.9134,
AUT,OILPROD,TOT,KTOE,A,2017,708.4419,
AUT,OILPROD,TOT,KTOE,A,2013,855.5069,
AUT,OILPROD,TOT,KTOE,A,2014,966.9481,
AUT,OILPROD,TOT,KTOE,A,2001,971.446,
AUT,OILPROD,TOT,KTOE,A,2015,866.9054,
AUT,OILPROD,TOT,KTOE,A,2004,985.6573,
AUT,OILPROD,TOT,KTOE,A,2012,852.7468,
AUT,OILPROD,TOT,KTOE,A,2007,812.4222,
AUT,OILPROD,TOT,KTOE,A,2009,958.1371,
AUT,OILPROD,TOT,KTOE,A,2010,916.2553,
AUT,OILPROD,TOT,KTOE,A,2011,752.7874,
AUT,OILPROD,TOT,KTOE,A,2008,919.8152,
AUT,OILPROD,TOT,KTOE,A,2021,558.6789,
AUT,OILPROD,TOT,KTOE,A,2002,962.3101,
AUT,OILPROD,TOT,KTOE,A,2018,680.5877,
AUT,OILPROD,TOT,KTOE,A,2006,876.3509,
AUT,OILPROD,TOT,KTOE,A,2016,797.4861,
AZE,OILPROD,TOT,KTOE,A,2012,42216.022,
AZE,OILPROD,TOT,KTOE,A,2015,40178.0427,
AZE,OILPROD,TOT,KTOE,A,2011,44717.1785,
AZE,OILPROD,TOT,KTOE,A,2021,30094.7795,
AZE,OILPROD,TOT,KTOE,A,2020,31220.7116,
AZE,OILPROD,TOT,KTOE,A,2013,41918.5594,
AZE,OILPROD,TOT,KTOE,A,2017,37087.519,
AZE,OILPROD,TOT,KTOE,A,2010,50003.5735,
AZE,OILPROD,TOT,KTOE,A,2006,32145.6702,
AZE,OILPROD,TOT,KTOE,A,2007,42552.5974,
AZE,OILPROD,TOT,KTOE,A,2009,49769.9263,
AZE,OILPROD,TOT,KTOE,A,2019,34581.1132,
AZE,OILPROD,TOT,KTOE,A,2005,22103.7914,
AZE,OILPROD,TOT,KTOE,A,2004,15424.6154,
AZE,OILPROD,TOT,KTOE,A,2008,43425.429,
AZE,OILPROD,TOT,KTOE,A,2002,15283.9165,
AZE,OILPROD,TOT,KTOE,A,2018,36977.077,
AZE,OILPROD,TOT,KTOE,A,2003,15327.1312,
AZE,OILPROD,TOT,KTOE,A,2001,14852.775,
AZE,OILPROD,TOT,KTOE,A,2014,40597.9899,
AZE,OILPROD,TOT,KTOE,A,2016,39372.1145,
BGR,OILPROD,TOT,KTOE,A,2019,,C
BGR,OILPROD,TOT,KTOE,A,2004,29.1781,
BGR,OILPROD,TOT,KTOE,A,2008,23.3425,
BGR,OILPROD,TOT,KTOE,A,2002,38.8841,
BGR,OILPROD,TOT,KTOE,A,2006,27.2329,
BGR,OILPROD,TOT,KTOE,A,2016,24.3841,
BGR,OILPROD,TOT,KTOE,A,2020,,C
BGR,OILPROD,TOT,KTOE,A,2017,24.2865,
BGR,OILPROD,TOT,KTOE,A,2003,29.1781,
BGR,OILPROD,TOT,KTOE,A,2015,25.4001,
BGR,OILPROD,TOT,KTOE,A,2011,21.3973,
BGR,OILPROD,TOT,KTOE,A,2018,22.8296,
BGR,OILPROD,TOT,KTOE,A,2013,27.2329,
BGR,OILPROD,TOT,KTOE,A,2001,36.7221,
BGR,OILPROD,TOT,KTOE,A,2012,23.3425,
BGR,OILPROD,TOT,KTOE,A,2021,,C
BGR,OILPROD,TOT,KTOE,A,2007,25.2877,
BGR,OILPROD,TOT,KTOE,A,2009,24.3151,
BGR,OILPROD,TOT,KTOE,A,2005,29.1781,
BGR,OILPROD,TOT,KTOE,A,2010,22.3699,
BGR,OILPROD,TOT,KTOE,A,2014,26.4161,
BHR,OILPROD,TOT,KTOE,A,2007,9450.2203,
BHR,OILPROD,TOT,KTOE,A,2013,10132.5946,
BHR,OILPROD,TOT,KTOE,A,2011,9757.2377,
BHR,OILPROD,TOT,KTOE,A,2014,10380.4525,
BHR,OILPROD,TOT,KTOE,A,2008,9394.1208,
BHR,OILPROD,TOT,KTOE,A,2003,9675.6384,
BHR,OILPROD,TOT,KTOE,A,2020,9985.3782,
BHR,OILPROD,TOT,KTOE,A,2006,9400.2408,
BHR,OILPROD,TOT,KTOE,A,2001,9354.3411,
BHR,OILPROD,TOT,KTOE,A,2004,9635.8588,
BHR,OILPROD,TOT,KTOE,A,2017,10109.7162,
BHR,OILPROD,TOT,KTOE,A,2010,9325.7814,
BHR,OILPROD,TOT,KTOE,A,2015,10334.5529,
BHR,OILPROD,TOT,KTOE,A,2019,9958.9655,
BHR,OILPROD,TOT,KTOE,A,2021,10199.6692,
BHR,OILPROD,TOT,KTOE,A,2002,9476.7401,
BHR,OILPROD,TOT,KTOE,A,2018,9957.4202,
BHR,OILPROD,TOT,KTOE,A,2009,9344.1412,
BHR,OILPROD,TOT,KTOE,A,2005,9567.5193,
BHR,OILPROD,TOT,KTOE,A,2016,10388.6124,
BHR,OILPROD,TOT,KTOE,A,2012,8893.305,
BLR,OILPROD,TOT,KTOE,A,2001,1853.8578,
BLR,OILPROD,TOT,KTOE,A,2009,1721.7254,
BLR,OILPROD,TOT,KTOE,A,2013,1646.6502,
BLR,OILPROD,TOT,KTOE,A,2005,1786.7906,
BLR,OILPROD,TOT,KTOE,A,2010,1701.7054,
BLR,OILPROD,TOT,KTOE,A,2004,1805.8097,
BLR,OILPROD,TOT,KTOE,A,2016,1646.6502,
BLR,OILPROD,TOT,KTOE,A,2015,1646.6502,
BLR,OILPROD,TOT,KTOE,A,2017,1651.6552,
BLR,OILPROD,TOT,KTOE,A,2011,1683.6873,
BLR,OILPROD,TOT,KTOE,A,2008,1741.7455,
BLR,OILPROD,TOT,KTOE,A,2018,1671.6753,
BLR,OILPROD,TOT,KTOE,A,2019,1691.6953,
BLR,OILPROD,TOT,KTOE,A,2002,1847.8518,
BLR,OILPROD,TOT,KTOE,A,2021,1687.1738,
BLR,OILPROD,TOT,KTOE,A,2014,1646.6502,
BLR,OILPROD,TOT,KTOE,A,2003,1821.8257,
BLR,OILPROD,TOT,KTOE,A,2007,1761.7655,
BLR,OILPROD,TOT,KTOE,A,2020,1711.7154,
BLR,OILPROD,TOT,KTOE,A,2012,1661.6652,
BLR,OILPROD,TOT,KTOE,A,2006,1781.7856,
BOL,OILPROD,TOT,KTOE,A,2009,1712.91,
BOL,OILPROD,TOT,KTOE,A,2014,2589.5473,
BOL,OILPROD,TOT,KTOE,A,2002,1840.2139,
BOL,OILPROD,TOT,KTOE,A,2003,2004.7774,
BOL,OILPROD,TOT,KTOE,A,2005,2571.9524,
BOL,OILPROD,TOT,KTOE,A,2010,1751.2046,
BOL,OILPROD,TOT,KTOE,A,2013,2408.4239,
BOL,OILPROD,TOT,KTOE,A,2018,2036.2204,
BOL,OILPROD,TOT,KTOE,A,2012,2113.4515,
BOL,OILPROD,TOT,KTOE,A,2011,1799.8492,
BOL,OILPROD,TOT,KTOE,A,2004,2354.6044,
BOL,OILPROD,TOT,KTOE,A,2015,2488.1182,
BOL,OILPROD,TOT,KTOE,A,2021,1589.1251,
BOL,OILPROD,TOT,KTOE,A,2001,1814.3391,
BOL,OILPROD,TOT,KTOE,A,2006,2067.9119,
BOL,OILPROD,TOT,KTOE,A,2007,2087.5767,
BOL,OILPROD,TOT,KTOE,A,2020,1635.2236,
BOL,OILPROD,TOT,KTOE,A,2017,2184.219,
BOL,OILPROD,TOT,KTOE,A,2016,2301.8198,
BOL,OILPROD,TOT,KTOE,A,2019,1802.4046,
BOL,OILPROD,TOT,KTOE,A,2008,1977.8677,
BRA,OILPROD,TOT,KTOE,A,2004,76502.4151,
BRA,OILPROD,TOT,KTOE,A,2019,144301.5679,
BRA,OILPROD,TOT,KTOE,A,2007,90764.9163,
BRA,OILPROD,TOT,KTOE,A,2021,150384.8446,
BRA,OILPROD,TOT,KTOE,A,2002,75123.9727,
BRA,OILPROD,TOT,KTOE,A,2005,84299.2294,
BRA,OILPROD,TOT,KTOE,A,2009,100920.8555,
BRA,OILPROD,TOT,KTOE,A,2012,107016.7573,
BRA,OILPROD,TOT,KTOE,A,2013,104761.2326,
BRA,OILPROD,TOT,KTOE,A,2008,94000.8545,
BRA,OILPROD,TOT,KTOE,A,2016,130372.241,
BRA,OILPROD,TOT,KTOE,A,2018,134066.2673,
BRA,OILPROD,TOT,KTOE,A,2010,106438.3654,
BRA,OILPROD,TOT,KTOE,A,2017,135905.4495,
BRA,OILPROD,TOT,KTOE,A,2003,77579.526,
BRA,OILPROD,TOT,KTOE,A,2006,89113.8392,
BRA,OILPROD,TOT,KTOE,A,2014,116703.3362,
BRA,OILPROD,TOT,KTOE,A,2020,152633.6155,
BRA,OILPROD,TOT,KTOE,A,2015,126126.0168,
BRA,OILPROD,TOT,KTOE,A,2001,66742.7048,
BRA,OILPROD,TOT,KTOE,A,2011,108974.9398,
BRN,OILPROD,TOT,KTOE,A,2013,6188.248,
BRN,OILPROD,TOT,KTOE,A,2019,5556.5025,
BRN,OILPROD,TOT,KTOE,A,2002,10132.35,
BRN,OILPROD,TOT,KTOE,A,2011,7441.0083,
BRN,OILPROD,TOT,KTOE,A,2008,9020.4869,
BRN,OILPROD,TOT,KTOE,A,2009,7818.7763,
BRN,OILPROD,TOT,KTOE,A,2021,5052.6764,
BRN,OILPROD,TOT,KTOE,A,2006,10512.1599,
BRN,OILPROD,TOT,KTOE,A,2005,10437.6273,
BRN,OILPROD,TOT,KTOE,A,2016,5545.0214,
BRN,OILPROD,TOT,KTOE,A,2018,5046.7393,
BRN,OILPROD,TOT,KTOE,A,2012,7432.8404,
BRN,OILPROD,TOT,KTOE,A,2014,5799.2491,
BRN,OILPROD,TOT,KTOE,A,2017,5099.7575,
BRN,OILPROD,TOT,KTOE,A,2010,7775.8945,
BRN,OILPROD,TOT,KTOE,A,2001,9773.9809,
BRN,OILPROD,TOT,KTOE,A,2020,5108.8178,
BRN,OILPROD,TOT,KTOE,A,2007,9241.0217,
BRN,OILPROD,TOT,KTOE,A,2015,6060.6237,
BRN,OILPROD,TOT,KTOE,A,2004,9898.5422,
BRN,OILPROD,TOT,KTOE,A,2003,10340.6328,
CAN,OILPROD,TOT,KTOE,A,2020,181618.2795,
CAN,OILPROD,TOT,KTOE,A,2001,90223.0441,
CAN,OILPROD,TOT,KTOE,A,2007,109452.3803,
CAN,OILPROD,TOT,KTOE,A,2008,110046.1749,
CAN,OILPROD,TOT,KTOE,A,2011,117003.0759,
CAN,OILPROD,TOT,KTOE,A,2012,127611.66,
CAN,OILPROD,TOT,KTOE,A,2010,110424.3229,
CAN,OILPROD,TOT,KTOE,A,2018,192403.7408,
CAN,OILPROD,TOT,KTOE,A,2006,115490.4839,
CAN,OILPROD,TOT,KTOE,A,2003,101441.7751,
CAN,OILPROD,TOT,KTOE,A,2017,174517.3409,
CAN,OILPROD,TOT,KTOE,A,2013,138333.6885,
CAN,OILPROD,TOT,KTOE,A,2009,103680.0024,
CAN,OILPROD,TOT,KTOE,A,2015,158024.9785,
CAN,OILPROD,TOT,KTOE,A,2016,161526.4245,
CAN,OILPROD,TOT,KTOE,A,2019,192971.3328,
CAN,OILPROD,TOT,KTOE,A,2005,106808.4105,
CAN,OILPROD,TOT,KTOE,A,2014,152695.1359,
CAN,OILPROD,TOT,KTOE,A,2002,93116.3872,
CAN,OILPROD,TOT,KTOE,A,2021,194358.0035,
CAN,OILPROD,TOT,KTOE,A,2004,104830.7987,
CHL,OILPROD,TOT,KTOE,A,2007,128.0883,
CHL,OILPROD,TOT,KTOE,A,2015,251.7802,
CHL,OILPROD,TOT,KTOE,A,2009,185.2615,
CHL,OILPROD,TOT,KTOE,A,2011,277.5884,
CHL,OILPROD,TOT,KTOE,A,2010,216.0181,
CHL,OILPROD,TOT,KTOE,A,2004,178.2496,
CHL,OILPROD,TOT,KTOE,A,2006,145.7949,
CHL,OILPROD,TOT,KTOE,A,2012,302.9111,
CHL,OILPROD,TOT,KTOE,A,2018,158.9658,
CHL,OILPROD,TOT,KTOE,A,2005,166.638,
CHL,OILPROD,TOT,KTOE,A,2013,355.1371,
CHL,OILPROD,TOT,KTOE,A,2008,132.4115,
CHL,OILPROD,TOT,KTOE,A,2016,209.4728,
CHL,OILPROD,TOT,KTOE,A,2020,79.6774,
CHL,OILPROD,TOT,KTOE,A,2014,347.7456,
CHL,OILPROD,TOT,KTOE,A,2019,172.3948,
CHL,OILPROD,TOT,KTOE,A,2003,179.4069,
CHL,OILPROD,TOT,KTOE,A,2017,174.8569,
CHL,OILPROD,TOT,KTOE,A,2001,264.986,
CHL,OILPROD,TOT,KTOE,A,2002,220.6498,
CHL,OILPROD,TOT,KTOE,A,2021,89.7424,
CHN,OILPROD,TOT,KTOE,A,2014,211429,
CHN,OILPROD,TOT,KTOE,A,2004,175873,
CHN,OILPROD,TOT,KTOE,A,2020,194768.6,
CHN,OILPROD,TOT,KTOE,A,2017,191506.1,
CHN,OILPROD,TOT,KTOE,A,2005,181353,
CHN,OILPROD,TOT,KTOE,A,2015,214556,
CHN,OILPROD,TOT,KTOE,A,2012,207478,
CHN,OILPROD,TOT,KTOE,A,2001,163959,
CHN,OILPROD,TOT,KTOE,A,2011,202876,
CHN,OILPROD,TOT,KTOE,A,2018,189324.2,
CHN,OILPROD,TOT,KTOE,A,2021,199263.765,
CHN,OILPROD,TOT,KTOE,A,2019,191014.1,
CHN,OILPROD,TOT,KTOE,A,2013,209919,
CHN,OILPROD,TOT,KTOE,A,2002,167000,
CHN,OILPROD,TOT,KTOE,A,2016,199685,
CHN,OILPROD,TOT,KTOE,A,2007,186318,
CHN,OILPROD,TOT,KTOE,A,2010,203014,
CHN,OILPROD,TOT,KTOE,A,2009,189490,
CHN,OILPROD,TOT,KTOE,A,2003,169600,
CHN,OILPROD,TOT,KTOE,A,2006,184766,
CHN,OILPROD,TOT,KTOE,A,2008,190440,
CIV,OILPROD,TOT,KTOE,A,2004,1325.4477,
CIV,OILPROD,TOT,KTOE,A,2014,965.0725,
CIV,OILPROD,TOT,KTOE,A,2008,2323.0965,
CIV,OILPROD,TOT,KTOE,A,2006,3191.4582,
CIV,OILPROD,TOT,KTOE,A,2015,1373.2941,
CIV,OILPROD,TOT,KTOE,A,2012,1485.2751,
CIV,OILPROD,TOT,KTOE,A,2005,2080.8104,
CIV,OILPROD,TOT,KTOE,A,2009,2318.0064,
CIV,OILPROD,TOT,KTOE,A,2002,762.4887,
CIV,OILPROD,TOT,KTOE,A,2003,1073.9995,
CIV,OILPROD,TOT,KTOE,A,2010,2007.5137,
CIV,OILPROD,TOT,KTOE,A,2018,1702.111,
CIV,OILPROD,TOT,KTOE,A,2020,1486.1526,
CIV,OILPROD,TOT,KTOE,A,2007,2461.5457,
CIV,OILPROD,TOT,KTOE,A,2017,2043.4118,
CIV,OILPROD,TOT,KTOE,A,2016,1648.1565,
CIV,OILPROD,TOT,KTOE,A,2001,307.4387,
CIV,OILPROD,TOT,KTOE,A,2013,1276.5833,
CIV,OILPROD,TOT,KTOE,A,2019,1842.4894,
CIV,OILPROD,TOT,KTOE,A,2021,1475.5552,
CIV,OILPROD,TOT,KTOE,A,2011,1708.2191,
CMR,OILPROD,TOT,KTOE,A,2015,4792.1468,
CMR,OILPROD,TOT,KTOE,A,2016,4738.405,
CMR,OILPROD,TOT,KTOE,A,2001,5302.187,
CMR,OILPROD,TOT,KTOE,A,2005,4594.4176,
CMR,OILPROD,TOT,KTOE,A,2021,3439.7069,
CMR,OILPROD,TOT,KTOE,A,2002,5538.4482,
CMR,OILPROD,TOT,KTOE,A,2017,3899.3149,
CMR,OILPROD,TOT,KTOE,A,2014,3867.3822,
CMR,OILPROD,TOT,KTOE,A,2006,4682.6352,
CMR,OILPROD,TOT,KTOE,A,2011,3038.9471,
CMR,OILPROD,TOT,KTOE,A,2007,4437.2481,
CMR,OILPROD,TOT,KTOE,A,2013,3414.1258,
CMR,OILPROD,TOT,KTOE,A,2009,3809.5844,
CMR,OILPROD,TOT,KTOE,A,2019,3656.0126,
CMR,OILPROD,TOT,KTOE,A,2003,5255.5432,
CMR,OILPROD,TOT,KTOE,A,2008,4362.2124,
CMR,OILPROD,TOT,KTOE,A,2020,3734.7332,
CMR,OILPROD,TOT,KTOE,A,2012,3146.4307,
CMR,OILPROD,TOT,KTOE,A,2010,3350.244,
CMR,OILPROD,TOT,KTOE,A,2018,3534.6423,
CMR,OILPROD,TOT,KTOE,A,2004,5008.1281,
COD,OILPROD,TOT,KTOE,A,2011,1213.4328,
COD,OILPROD,TOT,KTOE,A,2005,1277.8807,
COD,OILPROD,TOT,KTOE,A,2002,1172.1459,
COD,OILPROD,TOT,KTOE,A,2013,1136.901,
COD,OILPROD,TOT,KTOE,A,2014,1068.4251,
COD,OILPROD,TOT,KTOE,A,2021,1066.1231,
COD,OILPROD,TOT,KTOE,A,2010,1115.754,
COD,OILPROD,TOT,KTOE,A,2008,1163.0829,
COD,OILPROD,TOT,KTOE,A,2009,1115.754,
COD,OILPROD,TOT,KTOE,A,2020,1123.8754,
COD,OILPROD,TOT,KTOE,A,2007,1226.5238,
COD,OILPROD,TOT,KTOE,A,2018,1157.7257,
COD,OILPROD,TOT,KTOE,A,2015,1055.3341,
COD,OILPROD,TOT,KTOE,A,2016,1002.9702,
COD,OILPROD,TOT,KTOE,A,2012,1205.3768,
COD,OILPROD,TOT,KTOE,A,2019,1178.2161,
COD,OILPROD,TOT,KTOE,A,2006,1252.7057,
COD,OILPROD,TOT,KTOE,A,2004,1407.7835,
COD,OILPROD,TOT,KTOE,A,2003,1294.9997,
COD,OILPROD,TOT,KTOE,A,2001,1247.6708,
COD,OILPROD,TOT,KTOE,A,2017,1206.5379,
COG,OILPROD,TOT,KTOE,A,2018,17044.7273,
COG,OILPROD,TOT,KTOE,A,2004,11489.3053,
COG,OILPROD,TOT,KTOE,A,2006,14246.5746,
COG,OILPROD,TOT,KTOE,A,2021,14294.8596,
COG,OILPROD,TOT,KTOE,A,2011,15369.9824,
COG,OILPROD,TOT,KTOE,A,2013,12456.9121,
COG,OILPROD,TOT,KTOE,A,2005,12574.7879,
COG,OILPROD,TOT,KTOE,A,2003,10972.7017,
COG,OILPROD,TOT,KTOE,A,2017,14010.8455,
COG,OILPROD,TOT,KTOE,A,2019,17346.717,
COG,OILPROD,TOT,KTOE,A,2002,11965.9336,
COG,OILPROD,TOT,KTOE,A,2007,11658.4315,
COG,OILPROD,TOT,KTOE,A,2009,14174.8241,
COG,OILPROD,TOT,KTOE,A,2015,12336.9862,
COG,OILPROD,TOT,KTOE,A,2020,15848.138,
COG,OILPROD,TOT,KTOE,A,2014,13129.3168,
COG,OILPROD,TOT,KTOE,A,2010,16182.8131,
COG,OILPROD,TOT,KTOE,A,2012,14137.9238,
COG,OILPROD,TOT,KTOE,A,2001,12410.7868,
COG,OILPROD,TOT,KTOE,A,2016,12089.9595,
COG,OILPROD,TOT,KTOE,A,2008,12393.3616,
COL,OILPROD,TOT,KTOE,A,2020,41563.4478,
COL,OILPROD,TOT,KTOE,A,2007,27591.2278,
COL,OILPROD,TOT,KTOE,A,2011,47609.8769,
COL,OILPROD,TOT,KTOE,A,2018,45020.4919,
COL,OILPROD,TOT,KTOE,A,2017,44425.3538,
COL,OILPROD,TOT,KTOE,A,2001,31439.5709,
COL,OILPROD,TOT,KTOE,A,2002,30074.3878,
COL,OILPROD,TOT,KTOE,A,2006,27591.2278,
COL,OILPROD,TOT,KTOE,A,2003,28159.2973,
COL,OILPROD,TOT,KTOE,A,2008,30633.3763,
COL,OILPROD,TOT,KTOE,A,2016,46208.3696,
COL,OILPROD,TOT,KTOE,A,2014,51517.7513,
COL,OILPROD,TOT,KTOE,A,2015,52307.8018,
COL,OILPROD,TOT,KTOE,A,2004,27555.9126,
COL,OILPROD,TOT,KTOE,A,2012,49245.4732,
COL,OILPROD,TOT,KTOE,A,2013,52531.8008,
COL,OILPROD,TOT,KTOE,A,2021,38922.856,
COL,OILPROD,TOT,KTOE,A,2019,47008.5251,
COL,OILPROD,TOT,KTOE,A,2005,27367.2288,
COL,OILPROD,TOT,KTOE,A,2009,34873.2132,
COL,OILPROD,TOT,KTOE,A,2010,40878.8079,
CUB,OILPROD,TOT,KTOE,A,2019,2410.59,
CUB,OILPROD,TOT,KTOE,A,2018,2503.1417,
CUB,OILPROD,TOT,KTOE,A,2008,3052.5623,
CUB,OILPROD,TOT,KTOE,A,2012,3048.4963,
CUB,OILPROD,TOT,KTOE,A,2006,2947.8623,
CUB,OILPROD,TOT,KTOE,A,2002,3687.8774,
CUB,OILPROD,TOT,KTOE,A,2010,3074.9254,
CUB,OILPROD,TOT,KTOE,A,2014,2952.9449,
CUB,OILPROD,TOT,KTOE,A,2016,2662.2246,
CUB,OILPROD,TOT,KTOE,A,2021,2054.4964,
CUB,OILPROD,TOT,KTOE,A,2005,2983.44,
CUB,OILPROD,TOT,KTOE,A,2011,3061.7108,
CUB,OILPROD,TOT,KTOE,A,2015,2868.575,
CUB,OILPROD,TOT,KTOE,A,2003,3740.7356,
CUB,OILPROD,TOT,KTOE,A,2001,2933.6313,
CUB,OILPROD,TOT,KTOE,A,2007,2952.9449,
CUB,OILPROD,TOT,KTOE,A,2020,2209.6546,
CUB,OILPROD,TOT,KTOE,A,2013,2944.8128,
